nb_0,director_name,num_critic_for_reviews,duration,director_fb_likes,actor_3_fb_likes,actor_2_name,actor_1_fb_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_fb_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_fb_likes,imdb_score,movie_fb_likes,Horror,Reality-TV,History,Musical,Drama,Romance,Action,Animation,Film-Noir,Biography,Western,Crime,Thriller,Sci-Fi,News,Comedy,Adventure,Music,War,Family,Mystery,Game-Show,Sport,Fantasy,Short,Documentary
4,Bryan Singer,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0.0,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,Marc Forster,403.0,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Giancarlo Giannini,Quantum of Solace ,330784,2023,Rory Kinnear,1.0,1243.0,English,UK,PG-13,200000000.0,2008.0,412.0,6.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,48000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,118000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,123000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,58000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,40000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
3,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0.0,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,56000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,17000,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
